bibtex_key,title,authors,institutions,year,journal,publisher,keywords,bibtex_file,pdf_file,has_pdf,bibtex_keywords,pdf_keywords,abstract,keyword_sources,total_keyword_count,bibtex_keyword_count,pdf_keyword_count,has_abstract
chen2020new,A New Calibration Approach for Charging Facilities for Electric Vehicles via Machine Learning,Shaohui Chen; Di Zhou; Juntao Ye; Wenbin Zheng; Ping Fu,,2020,,,artificial intelligence; calibration; charging; charging pile; cid; cid cid; data; device; electric; electric car; electric vehicle; error; machine learning; message; model; pile; standard; standard device; value,/home/doyooni303/projects/technology-innovation/data/bibs/A New Calibration Approach for Charging Facilities for Electric Vehicles via Machine Learning.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/A New Calibration Approach for Charging Facilities for Electric Vehicles via Machine Learning.pdf,True,charging; electric vehicle; machine learning,electric car; artificial intelligence; electric vehicle; machine learning; cid; cid cid; calibration; charging; standard; pile; device; model; data; value; standard device; message; charging pile; error; electric,,bibtex; pdf,19,3,19,False
li2022stable,Stable all-solid-state lithium metal batteries enabled by machine learning simulation designed halide electrolytes,Feng Li; Xiaobin Cheng; Lei-Lei Lu; Yi-Chen Yin; Jin-Da Luo; Gongxun Lu; Yu-Feng Meng; Hongsheng Mo; Te Tian; Jing-Tian Yang; others,,2022,Nano Letters,ACS Publications,all-solid-state batteries; anode; artificial intelligence; cathode; conductivity; electrode; electrolyte; electrolytes; electrolytes ses; energy; energy storage; figure; halide; high; layered; layered halide electrolytes; li metal anode compatibility; lzrc; machine learning; metal; nanolett; neural network; nmc; optimization; potential; ses; ses superionic; soc; solid; solid electrolytes; stability; structure; superionic; superionic conductivity; zrcl,/home/doyooni303/projects/technology-innovation/data/bibs/Stable all-solid-state lithium metal batteries enabled by machine learning simulation designed halide electrolytes.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Stable all-solid-state lithium metal batteries enabled by machine learning simulation designed halide electrolytes.pdf,True,machine learning,layered halide electrolytes; neural network; li metal anode compatibility; all-solid-state batteries; machine learning; soc; artificial intelligence; cathode; nmc; energy storage; electrolyte; optimization; anode; electrode; solid; electrolytes; ses; superionic; conductivity; solid electrolytes; electrolytes ses; ses superionic; superionic conductivity; metal; figure; lzrc; nanolett; halide; potential; stability; high; structure; layered; zrcl; energy,Solid electrolytes (SEs) with superionic conductivity and,bibtex; pdf,35,1,35,True
kotapati2023deep,Deep learning based optimization model for energy consumption of new electric vehicles,Ghamya Kotapati; Prem Selvamani; Kranthi Lella; Khaja Shaik; Venkateswara Katevarapu; Naga Bommagani,,2023,Revue d'Intelligence Artificielle,International Information and Engineering Technology Association (IIETA),adoption; bems; bgru; charging; charging station; cnn; convolutional neural network; data; deep; deep learning; demand; electric; electric car; electric vehicle; energy; energy management; evs; increasing; iot; june; learning; learning model aimed at predicting the charging needs of electric vehicles. the; lstm; machine; machine learning; model; neural network; optimization; prediction; proliferation; rapid; received; rendered; rnn; soc; state of charge; time; vehicles,/home/doyooni303/projects/technology-innovation/data/bibs/Deep learning based optimization model for energy consumption of new electric vehicles.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Deep learning based optimization model for energy consumption of new electric vehicles.pdf,True,deep learning; optimization; electric vehicle,learning model aimed at predicting the charging needs of electric vehicles. the; soc; neural network; electric car; energy management; iot; electric vehicle; charging station; lstm; deep learning; cnn; machine learning; rnn; convolutional neural network; state of charge; optimization; received; june; rapid; proliferation; increasing; adoption; electric; vehicles; evs; rendered; charging; learning; model; energy; data; deep; demand; time; machine; prediction; bems; bgru,Received: 11 June 2023 The rapid proliferation and increasing adoption of electric vehicles (EVs) have rendered,bibtex; pdf,38,3,38,True
zine2017interests,Interests and limits of machine learning-based neural networks for rotor position estimation in EV traction drives,Wided Zine; Zaatar Makni; Eric Monmasson; Lahoucine Idkhajine; Bruno Condamin,,2017,IEEE Transactions on Industrial Informatics,IEEE,com; data; drives; electric vehicle; estimation; estimator; france; however; learning; machine; machine learning; neural network; nns; position; rotor; section; soc; speed; valeo,/home/doyooni303/projects/technology-innovation/data/bibs/Interests and limits of machine learning-based neural networks for rotor position estimation in EV traction drives.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Interests and limits of machine learning-based neural networks for rotor position estimation in EV traction drives.pdf,True,neural network; machine learning,soc; neural network; electric vehicle; machine learning; position; learning; estimator; data; section; machine; estimation; however; nns; france; valeo; rotor; drives; com; speed,,bibtex; pdf,19,2,19,False
kelker2021multi,Multi agent deep Q-reinforcement learning for autonomous low voltage grid control,Michael Kelker; Lars Quakernack; Jens Haubrock,,2021,,,agent; artificial intelligence; bss; charging; control; dqn; electric vehicle; environment; generation; grid; learning; neural network; optimization; peak; power; reinforcement learning; renewable energy; reward; smart grid; soc; state; transformer; use; voltage,/home/doyooni303/projects/technology-innovation/data/bibs/Multi agent deep Q-reinforcement learning for autonomous low voltage grid control.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Multi agent deep Q-reinforcement learning for autonomous low voltage grid control.pdf,True,reinforcement learning,soc; neural network; artificial intelligence; smart grid; renewable energy; electric vehicle; reinforcement learning; transformer; optimization; power; grid; charging; agent; state; peak; dqn; reward; control; environment; learning; bss; use; generation; voltage,,bibtex; pdf,24,1,24,False
liu2022towards,Towards long lifetime battery: AI-based manufacturing and management,Kailong Liu; Zhongbao Wei; Chenghui Zhang; Yunlong Shang; Remus Teodorescu; Qing-Long Han,,2022,IEEE/CAA Journal of Automatica Sinica,IEEE,ageing; also; artificial intelligence; battery; battery degradation; battery health; battery management system; battery manufacturing; bms; cell assembly; control; electric vehicle; electrode; energy storage; health; life; lifetime; lstm; machine learning; management; manufacturing; manufacturing management; neural network; optimization; reinforcement learning; rnn; smart; smart grid; soc; soh; solutions; various,/home/doyooni303/projects/technology-innovation/data/bibs/Towards long lifetime battery_ AI-based manufacturing and management.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Towards long lifetime battery_ AI-based manufacturing and management.pdf,True,battery,bms; soc; neural network; battery management system; artificial intelligence; battery degradation; smart grid; electric vehicle; lstm; energy storage; reinforcement learning; machine learning; cell assembly; rnn; battery manufacturing; soh; optimization; electrode; battery; health; manufacturing; management; battery health; also; life; various; smart; control; manufacturing management; lifetime; solutions; ageing,,bibtex; pdf,32,1,32,False
rohkohl2023multi,Multi-criteria and real-time control of continuous battery cell production steps using deep learning,"Erik Rohkohl; Malte Sch{\""o}nemann; Yury Bodrov; Christoph Herrmann",,2023,Advances in Industrial and Manufacturing Engineering,Elsevier,artificial intelligence; battery; calendering; cell; cell assembly; continuous; control; data; deep learning; electric vehicle; electric vehicles driven by batteries are a key part of a sustainable mobility sector. unfortunately; electrode; lstm; manufacturing; model; modeling; neural network; optimization; parameters; process; product; production; production line; real; soc; time,/home/doyooni303/projects/technology-innovation/data/bibs/Multi-criteria and real-time control of continuous battery cell production steps using deep learning.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Multi-criteria and real-time control of continuous battery cell production steps using deep learning.pdf,True,deep learning; battery,battery; electric vehicles driven by batteries are a key part of a sustainable mobility sector. unfortunately; soc; neural network; artificial intelligence; electric vehicle; lstm; deep learning; production line; cell assembly; calendering; optimization; electrode; process; production; continuous; time; cell; parameters; control; product; modeling; data; model; manufacturing; real,,bibtex; pdf,26,2,26,False
zhao2025deep,A Deep Reinforcement Learning-Based Multi-Objective Charging Scheduling Method for Electric Vehicle Charging Station,Qiang Zhao; Wenwei Wu; Ningyu Cheng; Ge Guo; Yinghua Han,,2025,IEEE Internet of Things Journal,IEEE,agent; artificial intelligence; charging; charging scheduling; charging station; electric vehicle; energy management; evcs; evs; grid; internet of things; iot; multi; neural network; objective; optimization; power; process; reinforcement learning; renewable energy; scheduling; smart grid; time; transformer; use; vehicle; vehicle-to-grid; within,/home/doyooni303/projects/technology-innovation/data/bibs/A Deep Reinforcement Learning-Based Multi-Objective Charging Scheduling Method for Electric Vehicle Charging Station.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/A Deep Reinforcement Learning-Based Multi-Objective Charging Scheduling Method for Electric Vehicle Charging Station.pdf,True,charging; electric vehicle; reinforcement learning,neural network; internet of things; artificial intelligence; energy management; smart grid; iot; renewable energy; electric vehicle; charging station; reinforcement learning; transformer; vehicle-to-grid; optimization; charging; scheduling; objective; evcs; time; multi; power; evs; process; agent; charging scheduling; within; grid; use; vehicle,,bibtex; pdf,28,3,28,False
drakopoulos2021formulation,Formulation and manufacturing optimization of lithium-ion graphite-based electrodes via machine learning,Stavros Drakopoulos; Azarmidokht Gholamipour-Shirazi; Paul MacDonald; Robert Parini; Carl Reynolds; David Burnett; Ben Pye; Kieran O’Regan; Guanmei Wang; Thomas Whitehead; others,,2021,Cell Reports Physical Science,Elsevier,access; anode; calendering; drying; electrode; electrolyte; energy; formulation; formulation manufacturing; graphite; high; ion; lithium-ion; machine; machine learning; manufacturing; mixing; nmc; open; optimization; process; via,/home/doyooni303/projects/technology-innovation/data/bibs/Formulation and manufacturing optimization of lithium-ion graphite-based electrodes via machine learning.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Formulation and manufacturing optimization of lithium-ion graphite-based electrodes via machine learning.pdf,True,lithium-ion; optimization; machine learning,nmc; electrolyte; machine learning; calendering; optimization; anode; electrode; manufacturing; formulation; graphite; formulation manufacturing; ion; high; energy; mixing; drying; process; open; access; via; machine,,bibtex; pdf,22,3,21,False
yang2019large,Large-Scale Home Energy Management Using Entropy-Based Collective Multiagent Deep Reinforcement Learning Framework.,Yaodong Yang; Jianye Hao; Yan Zheng; Chao Yu,,2019,,,battery; battery capacity; cid; cid cid; demand; electric vehicle; energy; energy management; framework; generation; grid; grid hard; group; hard; hard maintain; home; maintain; makes; makes power; neural network; optimization; peak; power; power grid; price; reinforcement learning; set; smart grid; state of charge; trading,/home/doyooni303/projects/technology-innovation/data/bibs/[PDF] Large-Scale Home Energy Management Using Entropy-Based Collective Multiagent Deep Reinforcement Learning Framework..txt,/home/doyooni303/projects/technology-innovation/data/pdfs/[PDF] Large-Scale Home Energy Management Using Entropy-Based Collective Multiagent Deep Reinforcement Learning Framework..pdf,True,energy management; reinforcement learning,battery capacity; neural network; energy management; smart grid; electric vehicle; reinforcement learning; state of charge; optimization; makes; power; grid; hard; maintain; demand; makes power; power grid; grid hard; hard maintain; cid; cid cid; energy; home; price; generation; group; set; battery; trading; framework; peak,which makes the power grid hard to maintain the demand-,bibtex; pdf,30,2,30,True
smith2021application,Application of machine learning to sleep stage classification,Andrew Smith; Hardik Anand; Snezana Milosavljevic; Katherine Rentschler; Ana Pocivavsek; Homayoun Valafar,,2021,,,artificial; classifier; data; decision; eeg; electrode; emg; iot; learning; machine; machine learning; neural network; samples; sleep; soc; total; training; use; vigilance,/home/doyooni303/projects/technology-innovation/data/bibs/Application of machine learning to sleep stage classification.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Application of machine learning to sleep stage classification.pdf,True,machine learning,soc; neural network; iot; machine learning; electrode; data; sleep; eeg; training; total; machine; learning; vigilance; emg; use; decision; classifier; artificial; samples,,bibtex; pdf,19,1,19,False
bharathi2022ai,AI and IoT-based electric vehicle monitoring system,M Bharathi; K Geetha; PK Mani; G Vijayakumar; K Srinivasan; Kallakunta Kumar,,2022,,,artificial intelligence; battery; battery management system; bms; charging station; cloud; current; data; electric vehicle; evs; federated learning; internet of things; iot; machine learning; microcontroller; model; neural network; sensor; sensors; soc; soc battery; soh; state of charge; state of health; temperature; used; voltage,/home/doyooni303/projects/technology-innovation/data/bibs/AI and IoT-based electric vehicle monitoring system.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/AI and IoT-based electric vehicle monitoring system.pdf,True,electric vehicle; iot,bms; soc; neural network; battery management system; federated learning; internet of things; artificial intelligence; iot; electric vehicle; charging station; machine learning; soh; state of health; state of charge; battery; data; cloud; sensor; voltage; temperature; current; model; used; microcontroller; evs; sensors; soc battery,,bibtex; pdf,27,2,27,False
qi2024battery,Battery pack capacity estimation for electric vehicles based on enhanced machine learning and field data,Qingguang Qi; Wenxue Liu; Zhongwei Deng; Jinwen Li; Ziyou Song; Xiaosong Hu,,2024,Journal of Energy Chemistry,Elsevier,anode; battery; battery capacity; battery degradation; bigru; capacity; cathode; cnn; curves; data; electric vehicle; electrode; electrolyte; estimation; ity estimation method grounded in field data. the proposed approach begins by determining labeled; lithium; lstm; machine learning; methods; model; pack; packs; real; soc; soh; state of charge; temperature; voltage,/home/doyooni303/projects/technology-innovation/data/bibs/Battery pack capacity estimation for electric vehicles based on enhanced machine learning and field data.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Battery pack capacity estimation for electric vehicles based on enhanced machine learning and field data.pdf,True,battery; electric vehicle; machine learning,ity estimation method grounded in field data. the proposed approach begins by determining labeled; soc; battery capacity; battery degradation; electric vehicle; cathode; lstm; electrolyte; cnn; machine learning; soh; state of charge; anode; electrode; battery; capacity; data; pack; estimation; lithium; model; bigru; real; packs; methods; temperature; curves; voltage,,bibtex; pdf,28,3,28,False
goldman2023ai,AI hunts for hidden minerals: machine learning is uncovering hoards of vital EV battery metals,Josh Goldman; Kurt House,,2023,IEEE Spectrum,IEEE,artificial intelligence; battery; cobalt; copper; deposits; electric vehicle; june; kobold; lithium; machine learning; metals; minerals; mining; nickel; ore; ore deposits; supply; thousands; use,/home/doyooni303/projects/technology-innovation/data/bibs/AI hunts for hidden minerals_ machine learning is uncovering hoards of vital EV battery metals.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/AI hunts for hidden minerals_ machine learning is uncovering hoards of vital EV battery metals.pdf,True,battery; machine learning,artificial intelligence; electric vehicle; machine learning; metals; deposits; kobold; nickel; use; minerals; june; cobalt; copper; lithium; ore; supply; mining; thousands; ore deposits,,bibtex; pdf,19,2,18,False
sun2023adaptive,An adaptive V2G capacity-based frequency regulation scheme with integral reinforcement learning against dos attacks,Jian Sun; Guanqiu Qi; Yi Chai; Zhiqin Zhu; Josep Guerrero,,2023,IEEE Transactions on Smart Grid,IEEE,adaptive; area; artificial intelligence; attack; attacks; battery degradation; control; cyber-physical system; dos; dos attacks; electric vehicle; energy storage; evs; frc; frequency; irl; neural network; optimization; performance; power; proposed; reinforcement learning; scheme; soc; v2g; vehicle-to-grid,/home/doyooni303/projects/technology-innovation/data/bibs/An adaptive V2G capacity-based frequency regulation scheme with integral reinforcement learning against dos attacks.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/An adaptive V2G capacity-based frequency regulation scheme with integral reinforcement learning against dos attacks.pdf,True,reinforcement learning,soc; neural network; artificial intelligence; battery degradation; electric vehicle; energy storage; v2g; reinforcement learning; cyber-physical system; vehicle-to-grid; optimization; frc; attacks; dos; control; power; dos attacks; frequency; proposed; performance; evs; adaptive; scheme; irl; area; attack,,bibtex; pdf,26,1,26,False
prasath2023classification,Classification of power quality issues on the distribution grid due to the impact of electric vehicle charging using machine learning tool,Guru Prasath; Athish Pranav; Vishnu Sunil; Ilango Karuppasamy; others,,2023,,,algorithm; amrita; bayes; charging; charging station; cid; cid cid; classification; current; electric; electric vehicle; grid; learning; lithium-ion battery; machine; machine learning; models; power; quality; smart grid; supervised learning; unsupervised learning; voltage,/home/doyooni303/projects/technology-innovation/data/bibs/Classification of power quality issues on the distribution grid due to the impact of electric vehicle charging using machine learning tool.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Classification of power quality issues on the distribution grid due to the impact of electric vehicle charging using machine learning tool.pdf,True,charging; electric vehicle; machine learning,lithium-ion battery; smart grid; electric vehicle; unsupervised learning; charging station; supervised learning; machine learning; cid; cid cid; voltage; power; learning; classification; machine; grid; quality; current; electric; amrita; bayes; models; algorithm,,bibtex; pdf,23,3,22,False
el2023machine,Machine learning for optimal electrode wettability in lithium ion batteries,Amina El Malki; Mark Asch; Oier Arcelus; Abbos Shodiev; Jia Yu; Alejandro Franco,,2023,Journal of Power Sources Advances,Elsevier,battery manufacturing; calendering; cid; data; density; design; electrode; electrode wetting is a critical step in the lithium-ion battery manufacturing process. the injection of electrolyte; electrodes; electrolyte; energy storage; lbm; lithium-ion battery; machine learning; model; nmc; optimization; parameters; process; saturation; separator; supervised learning; time; unsupervised learning; used; wettability,/home/doyooni303/projects/technology-innovation/data/bibs/Machine learning for optimal electrode wettability in lithium ion batteries.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Machine learning for optimal electrode wettability in lithium ion batteries.pdf,True,machine learning,electrode wetting is a critical step in the lithium-ion battery manufacturing process. the injection of electrolyte; lithium-ion battery; unsupervised learning; nmc; energy storage; supervised learning; electrolyte; machine learning; battery manufacturing; calendering; optimization; separator; electrode; lbm; cid; process; density; model; data; design; parameters; saturation; wettability; electrodes; time; used,,bibtex; pdf,26,1,26,False
chen2025federated,Federated Deep Reinforcement Learning for Combating Cyber-Threats Specific to EV Charging in Next-Gen WPT Infrastructure,Miaojiang Chen; Kaiwen Luo; Pengshuo Wang; Wenjing Xiao; Zhiquan Liu; Anfeng Liu; Ahmed Farouk; Min Chen,,2025,IEEE Transactions on Intelligent Transportation Systems,IEEE,charging; charging station; deep; electric vehicle; evs; federated; federated learning; interference; iot; irs; learning; model; network; optimization; power; reinforcement; reinforcement learning; soc; strategy; wireless; wireless charging; wpt,/home/doyooni303/projects/technology-innovation/data/bibs/Federated Deep Reinforcement Learning for Combating Cyber-Threats Specific to EV Charging in Next-Gen WPT Infrastructure.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Federated Deep Reinforcement Learning for Combating Cyber-Threats Specific to EV Charging in Next-Gen WPT Infrastructure.pdf,True,charging; reinforcement learning,soc; federated learning; iot; electric vehicle; charging station; reinforcement learning; wireless charging; optimization; charging; learning; interference; reinforcement; wpt; wireless; evs; network; deep; irs; strategy; federated; power; model,,bibtex; pdf,22,2,22,False
at2023comprehensive,A comprehensive exploration on different machine learning techniques for state of charge estimation of ev battery,Mithul AT; Justin Ratnam; Niranjan Kumar; Tanya Gupta; Keerthi Balaji; Rajesh Kumar; Mohamed Farrag; others,,2023,,,batteries; battery; battery management system; charge; convolutional neural network; dataset; electric vehicle; electrical; estimation; institute; ion; learning; li-ion battery; lithium-ion battery; machine; machine learning; neural network; power; soc; state of charge; techniques; v2g; vellore,/home/doyooni303/projects/technology-innovation/data/bibs/A comprehensive exploration on different machine learning techniques for state of charge estimation of ev battery.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/A comprehensive exploration on different machine learning techniques for state of charge estimation of ev battery.pdf,True,battery; machine learning,soc; neural network; battery management system; lithium-ion battery; electric vehicle; li-ion battery; v2g; machine learning; convolutional neural network; state of charge; battery; vellore; batteries; ion; machine; learning; estimation; power; dataset; techniques; charge; institute; electrical,,bibtex; pdf,23,2,23,False
chinta2025ai,AI-Driven Adaptive Control for Battery Management Systems in Electric Vehicles,Srikiran Chinta; Hari Bhupathi,,2025,"International Journal of Artificial Intelligence, Data Science, and Machine Learning",,adaptive; adaptive control; artificial intelligence; artificial intelligence (ai); battery; battery aging; battery degradation; battery management; battery management system; battery management system (bms); bms; cnn; conditions; control; convolutional neural network; data; deep learning; demand; electric; electric vehicle; electric vehicles (ev); energy management; ensemble learning; estimation; federated learning; global; green; implement; increasing; increasing global; innovate; learning; lstm; machine learning; management; neural network; optimization; performance; real; reinforcement learning; rnn; soc; soh; state; state of charge; state of health; supervised learning; sustainability; time; transportation; urge,/home/doyooni303/projects/technology-innovation/data/bibs/AI-Driven Adaptive Control for Battery Management Systems in Electric Vehicles.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/AI-Driven Adaptive Control for Battery Management Systems in Electric Vehicles.pdf,True,battery; electric vehicle,electric vehicles (ev); artificial intelligence (ai); adaptive control; battery management system (bms); sustainability; bms; soc; neural network; battery management system; federated learning; artificial intelligence; energy management; battery degradation; electric vehicle; lstm; supervised learning; reinforcement learning; deep learning; cnn; machine learning; rnn; convolutional neural network; ensemble learning; soh; state of health; state of charge; battery aging; optimization; increasing; global; demand; green; transportation; urge; innovate; implement; electric; increasing global; battery; learning; management; state; control; adaptive; battery management; performance; real; time; estimation; data; conditions,"With increasing global demand for green transportation, the urge to innovate and implement electric",bibtex; pdf,51,2,51,True
saxena2018anomaly,Anomaly detection during lithium-ion battery qualification testing,Saurabh Saxena; Myeongsu Kang; Yinjiao Xing; Michael Pecht,,2018,,,anomaly detection; batteries; battery; battery capacity; battery degradation; battery production; capacity; capacity fade; cid; cid cid; class; cycles; data; discharge; electrode; electrolyte; energy storage; fade; li-ion battery; lithium-ion; lithium-ion battery; lot; lots; machine learning; one; separator; supervised learning; testing; unsupervised learning,/home/doyooni303/projects/technology-innovation/data/bibs/Anomaly detection during lithium-ion battery qualification testing.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Anomaly detection during lithium-ion battery qualification testing.pdf,True,lithium-ion; battery,lithium-ion; anomaly detection; battery; battery production; battery capacity; lithium-ion battery; battery degradation; unsupervised learning; li-ion battery; energy storage; supervised learning; electrolyte; machine learning; separator; electrode; cid; cid cid; capacity; data; batteries; fade; discharge; capacity fade; lot; one; class; testing; cycles; lots,,bibtex; pdf,29,2,29,False
li2021deep,Deep reinforcement learning-based energy management of hybrid battery systems in electric vehicles,Weihan Li; Han Cui; Thomas Nemeth; Jonathan Jansen; Cem Uenluebayir; Zhongbao Wei; Lei Zhang; Zhenpo Wang; Jiageng Ruan; Haifeng Dai; others,,2021,Journal of Energy Storage,Elsevier,anode; battery; cathode; electric; electric vehicle; electrode; electrolyte; ems; energy; energy management; energy storage; high; hybrid; in this paper; internet of things; learning; lithium; management; neural network; optimization; pack; plug-in hybrid; power; reinforcement learning; soc; state of charge; storage; strategy; vehicles; we propose an energy management strategy based on deep reinforcement learning for a,/home/doyooni303/projects/technology-innovation/data/bibs/Deep reinforcement learning-based energy management of hybrid battery systems in electric vehicles.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Deep reinforcement learning-based energy management of hybrid battery systems in electric vehicles.pdf,True,battery; electric vehicle; energy management; reinforcement learning,we propose an energy management strategy based on deep reinforcement learning for a; in this paper; soc; neural network; internet of things; energy management; electric vehicle; cathode; energy storage; plug-in hybrid; electrolyte; reinforcement learning; state of charge; optimization; anode; electrode; energy; battery; high; power; hybrid; learning; electric; management; vehicles; pack; storage; ems; strategy; lithium,,bibtex; pdf,30,4,30,False
al2025machine,Machine Learning and Device’s Neighborhood-Enabled Fusion Algorithm for the Internet of Things,Amal Al-Rasheed; Tahani Alsaedi; Rahim Khan; Bharati Rathore; Gaurav Dhiman; Mahwish Kundi; Aftab Ahmad,,2025,IEEE Transactions on Consumer Electronics,IEEE,artificial intelligence; captured; data; data values; device; devices; enabled; every; fusion; information; internet of things; iot; machine learning; module; neighborhood; proposed; server; soc; values,/home/doyooni303/projects/technology-innovation/data/bibs/Machine Learning and Device's Neighborhood-Enabled Fusion Algorithm for the Internet of Things.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Machine Learning and Device's Neighborhood-Enabled Fusion Algorithm for the Internet of Things.pdf,True,machine learning,soc; internet of things; artificial intelligence; iot; machine learning; data; devices; fusion; server; proposed; module; information; device; every; values; neighborhood; captured; data values; enabled,,bibtex; pdf,19,1,19,False
wang2020vehicle,Vehicle to grid frequency regulation capacity optimal scheduling for battery swapping station using deep Q-network,Xinan Wang; Jianhui Wang; Jianzhe Liu,,2020,IEEE Transactions on Industrial Informatics,IEEE,batteries; battery; battery degradation; battery swapping; bss; capacity; energy; energy storage; ffrs; hour; however; model; number; optimization; provide; real; regulation; reinforcement learning; renewable energy; scheduling; smart grid; soc; v2g,/home/doyooni303/projects/technology-innovation/data/bibs/Vehicle to grid frequency regulation capacity optimal scheduling for battery swapping station using deep Q-network.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Vehicle to grid frequency regulation capacity optimal scheduling for battery swapping station using deep Q-network.pdf,True,battery,soc; battery degradation; smart grid; battery swapping; renewable energy; energy storage; v2g; reinforcement learning; optimization; ffrs; bss; battery; batteries; capacity; energy; regulation; provide; however; model; scheduling; hour; real; number,,bibtex; pdf,23,1,23,False
angeloni4530670characterization,Characterization and Process Optimization of Remote Laser Cutting of Metal Foils for Battery Electrode Production,Caterina Angeloni; Erica Liverani; Alessandro Ascari; Alessandro Fortunato,,,Available at SSRN 4530670,,anode; battery; battery production; beam; cathode; collectors; current; current collectors; cut; cutting; electrode; electrolyte; especially in the field of car manufacturing. laser-based cutting processes for trimming and cutting; high; laser; laser cutting; lasers; li-ion battery; lifepo4; material; optimization; power; process; process optimization; production; quality; requirements; separator; soc; sustainability,/home/doyooni303/projects/technology-innovation/data/bibs/Characterization and process optimization of remote laser cutting of current collectors for battery electrode production.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Characterization and process optimization of remote laser cutting of current collectors for battery electrode production.pdf,True,optimization; battery,requirements; especially in the field of car manufacturing. laser-based cutting processes for trimming and cutting; sustainability; soc; battery production; cathode; li-ion battery; electrolyte; lifepo4; optimization; process optimization; anode; separator; electrode; laser; cutting; current; quality; cut; collectors; laser cutting; process; current collectors; high; lasers; material; beam; production; power,,bibtex; pdf,30,2,29,False
wang2025attention,Attention-Enhanced Deep Reinforcement Learning for Fast Charging Optimization of Lithium-Ion Batteries With Incomplete Observations,Xizhe Wang; Benben Jiang,,2025,IEEE Transactions on Industrial Informatics,IEEE,anode; battery; battery degradation; cathode; charging; cid; cid cid; current; degradation; electric vehicle; electrode; fast; fast charging; lithium; lithium-ion; model; optimization; proposed; reinforcement learning; soc; state; state of charge; time,/home/doyooni303/projects/technology-innovation/data/bibs/Attention-Enhanced Deep Reinforcement Learning for Fast Charging Optimization of Lithium-Ion Batteries With Incomplete Observations.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Attention-Enhanced Deep Reinforcement Learning for Fast Charging Optimization of Lithium-Ion Batteries With Incomplete Observations.pdf,True,lithium-ion; charging; optimization; reinforcement learning,soc; fast charging; battery degradation; electric vehicle; cathode; reinforcement learning; state of charge; optimization; anode; electrode; charging; cid; battery; cid cid; fast; degradation; lithium; current; state; time; model; proposed,,bibtex; pdf,23,4,22,False
li2020real,Real-time residential demand response,Hepeng Li; Zhiqiang Wan; Haibo He,,2020,IEEE Transactions on Smart Grid,IEEE,appliance; appliances; cid; cid cid; drl; electric vehicle; electricity; energy management; energy storage; model; neural network; optimization; proposed; real; real time; reinforcement learning; scheduling; slot; soc; temperature; time; uncertainty,/home/doyooni303/projects/technology-innovation/data/bibs/Real-time residential demand response.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Real-time residential demand response.pdf,True,,soc; neural network; energy management; electric vehicle; energy storage; reinforcement learning; optimization; time; cid; appliances; proposed; real; electricity; appliance; temperature; real time; model; cid cid; scheduling; uncertainty; drl; slot,,pdf,22,0,22,False
coppola2021adaptive,Adaptive cruise control for autonomous electric vehicles based on q-learning algorithm,Angelo Coppola; Alberto Petrillo; Renato Rizzo; Stefania Santini,,2021,,,acc; action; algorithm; autonomous; battery; battery capacity; cid; control; driving; ego; electric; electric vehicle; learning; model; optimization; policy; reinforcement learning; soc; speed; state of charge; vehicle,/home/doyooni303/projects/technology-innovation/data/bibs/Adaptive cruise control for autonomous electric vehicles based on q-learning algorithm.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Adaptive cruise control for autonomous electric vehicles based on q-learning algorithm.pdf,True,electric vehicle,soc; battery capacity; electric vehicle; reinforcement learning; state of charge; optimization; vehicle; control; cid; learning; policy; autonomous; acc; ego; speed; model; action; battery; electric; algorithm; driving,,bibtex; pdf,21,1,21,False
